idVendedor,descTipoPagamento,qtdePedidoMeioPagamento,vlPedidoMeioPagamento
05d2173d43ea568aa0540eba70d2ca76,boleto,3,329.42000579834
05d2173d43ea568aa0540eba70d2ca76,credit_card,9,990.019992828369
05f51e13da97139648b8125c31e5f51b,boleto,9,2956.80001831055
05f51e13da97139648b8125c31e5f51b,credit_card,47,12381.4500427246
05feb94f19d094d4b0f9281f0b1d4c99,boleto,1,1416.69995117188
05feb94f19d094d4b0f9281f0b1d4c99,credit_card,3,4962.05004882813
05ff92fedb5be47920fea08e501238b9,boleto,4,1352.42995452881
05ff92fedb5be47920fea08e501238b9,credit_card,19,7411.17995452881
062ce95fa2ad4dfaedfc79260130565f,boleto,6,922.830001831055
062ce95fa2ad4dfaedfc79260130565f,credit_card,14,4067.59993743896
06532f10282704ef4c69168b914b77be,boleto,1,1877.83996582031
